"SITENAME","DATE","TIME","SALINITY","TN","TP","TOC","NH4","N.N","NO2","SRP","DOC","NO3","DIN","WY","season","Chla","STATION"
"SRS1a",2002-08-22,"08:45",0,0.4883155821,0.00185842572,1211.667,0.030674673,0.005042412,0.08,0.0011,12.2609189131,0.28,0.035717085,2003,"A_Wet",NA,"SRS1a"
"SRS1a",2002-09-25,"15:45",0,0.8057494242,NA,1406.667,0.019749447,0.010084824,0.13,0.0011,17.9159648369,0.59,0.029834271,2003,"A_Wet",NA,"SRS1a"
"SRS1a",2002-10-23,"12:00",0,0.5010756858,NA,1634.167,0.033756147,0.005462613,0.13,NA,19.5273924131,0.26,0.03921876,2003,"A_Wet",NA,"SRS1a"
"SRS1a",2002-11-20,"13:15",0,0.8188877088,0.00371685144,1218.333,NA,0.021430251,0.15,0.0011,15.8341021631,1.38,NA,2003,"B_Dry",NA,"SRS1a"
"SRS1a",2002-12-19,"12:00",0,0.9271875132,0.02508874722,1427.5,0.06723216,0.052665192,0.29,0.0011,16.454659,3.48,0.119897352,2003,"B_Dry",NA,"SRS1a"
"SRS1a",2003-01-21,"09:10",0,0.8252047305,0.01951347006,1330.833,NA,0.02941407,0.2,0.00402658906,12.0207049131,1.9,NA,2003,"B_Dry",NA,"SRS1a"
"SRS1a",2003-02-20,"13:15",0,0.9466708329,0.0247790096,935,NA,0.015827571,0.21,NA,13.5120375,0.92,NA,2003,"B_Dry",NA,"SRS1a"
"SRS1a",2003-03-26,"10:30",0,NA,0.0123895048,1096.667,0.017508375,0.003641742,0.04,0.0011,11.3000629131,0.23,0.021150117,2003,"B_Dry",NA,"SRS1a"
"SRS1a",2003-04-24,"14:30",0,0.9804409866,0.0356198263,1060,0.007563618,0.0012,0.04,0.0011,12.3009625869,0.09,0.008763618,2003,"B_Dry",NA,"SRS1a"
"SRS1a",2003-05-27,"11:00",0,NA,0.01022134146,988.333,0.007283484,0.002521206,0.06,0.0011,11.9306246631,0.13,0.00980469,2004,"A_Wet",NA,"SRS1a"
"SRS1a",2003-06-17,"11:00",0,0.442331586,0.01053107908,1098.333,0.007843752,0.004762278,0.13,0.0011,13.0716411631,0.21,0.01260603,2004,"A_Wet",NA,"SRS1a"
"SRS1a",2003-07-23,"14:00",0,0.9703561626,0.0061947524,1484.167,0.028433601,0.022550787,0.14,0.0011,18.2162323369,1.47,0.050984388,2004,"A_Wet",NA,"SRS1a"
"SRS1a",2003-08-18,"13:45",0,1.4165115777,0.00588501478,1841.667,0.034316415,NA,0.45,0.0011,21.8794958369,NA,NA,2004,"A_Wet",NA,"SRS1a"
"SRS1a",2003-09-09,"12:30",0,0.5067904194,0.00433632668,1288.333,0.0280134,0.043000569,0.15,0.0011,16.8950553369,2.92,0.071013969,2004,"A_Wet",NA,"SRS1a"
"SRS1a",2003-10-08,"11:30",0,0.5112585567,0.0030973762,1126.667,0.02381139,0.055186398,0.22,0.0011,14.1526041631,3.72,0.078997788,2004,"A_Wet",NA,"SRS1a"
"SRS1a",2003-11-11,"11:45",0,0.3991629366,0.00402658906,957.5,0.02101005,0.013866633,0.14,0.0011,13.331877,0.84,0.034876683,2004,"B_Dry",NA,"SRS1a"
"SRS1a",2003-12-03,"09:30",0,0.684507429,0.0015486881,831.458,0.081799128,0.007983819,0.07,0.0011,11.9005979131,0.51,0.089782947,2004,"B_Dry",NA,"SRS1a"
"SRS1a",2004-01-26,"13:20",0,0.3674097477,0.00712396526,905,0.031234941,0.0012,0.1,0.0011,11.8956014619,NA,0.032434941,2004,"B_Dry",NA,"SRS1a"
"SRS1a",2004-02-10,"11:20",0,0.4079311308,0.01053107908,894.167,0.062750016,0.018348777,0.28,0.0011,10.9247285381,1.04,0.081098793,2004,"B_Dry",NA,"SRS1a"
"SRS1a",2004-03-23,"16:15",0,0.4872650796,0.00991160384,912.5,0.114154605,0.05462613,0.36,0.0011,8.362449875,3.53,0.168780735,2004,"B_Dry",NA,"SRS1a"
"SRS1a",2004-04-19,"11:30",0,NA,0.02725691056,1060,0.020589849,0.055886733,0.26,0.0011,NA,3.73,0.076476582,2004,"B_Dry",NA,"SRS1a"
"SRS1a",2004-05-05,"15:45",0,NA,NA,1019.167,0.007423551,0.014707035,0.2,0.0011,13.451984,0.85,0.022130586,2005,"A_Wet",NA,"SRS1a"
"SRS1a",2004-06-24,"15:00",0,0.4223720385,0.02818612342,1135.833,0.006303015,0.017928576,0.13,0.0011,14.292733,1.15,0.024231591,2005,"A_Wet",NA,"SRS1a"
"SRS1a",2004-07-15,"10:45",0,0.5101380207,0.0139381929,983.333,0.011065293,NA,NA,0.0011,NA,0.5,NA,2005,"A_Wet",NA,"SRS1a"
"SRS1a",2004-08-19,"12:30",0,0.7477336728,0.01300898004,1973.333,0.03641742,0.059528475,0.51,0.00247790096,22.8603616631,3.75,0.095945895,2005,"A_Wet",NA,"SRS1a"
"SRS1a",2004-09-08,"16:30",0,0.4334513382,0.00588501478,1395,0.051684723,0.084180267,0.25,0.0011,17.295408,5.76,0.13586499,2005,"A_Wet",NA,"SRS1a"
"SRS1a",2004-10-14,"12:00",0,0.4489007283,0.00340711382,1462.5,0.028293534,0.027172998,0.12,0.0011,18.76671875,1.83,0.055466532,2005,"A_Wet",NA,"SRS1a"
"SRS1a",2004-11-22,"09:30",0,0.4744209357,0.00340711382,1310.833,0.025492194,0.005882814,0.17,0.0011,16.6448244131,0.25,0.031375008,2005,"B_Dry",NA,"SRS1a"
"SRS1a",2004-12-07,"16:30",0,0.3977762733,NA,1169.167,0.023111055,0.014847102,0.15,NA,16.3846005869,0.91,0.037958157,2005,"B_Dry",NA,"SRS1a"
"SRS1a",2005-01-04,"08:15",0,0.6690020121,0.00681422764,1613.333,0.106871121,0.066811959,0.64,0.0011,NA,4.13,0.17368308,2005,"B_Dry",NA,"SRS1a"
"SRS1c",2005-01-04,"15:00",0,0.7757610795,0.00247790096,1932.5,0.081939195,0.005742747,0.28,0.0011,25.1824383369,0.13,0.087681942,2005,"B_Dry",NA,"SRS1c"
"SRS1c",2005-02-16,"14:15",0,0.7926811731,0.00588501478,2014.167,0.075215979,0.012746097,0.61,0.0011,25.0423095,0.3,0.087962076,2005,"B_Dry",NA,"SRS1c"
"SRS1c",2005-05-23,"14:30",0,0.6263376039,NA,NA,0.032915745,0.002941407,0.1,0.00247790096,24.336680875,0.12,0.035857152,2006,"A_Wet",NA,"SRS1c"
"SRS1c",2005-06-30,"11:30",0,0.5487404859,0.00712396526,1290,0.100988307,0.00280134,0.13,0.00340711382,NA,0.07,0.103789647,2006,"A_Wet",NA,"SRS1c"
"SRS1c",2005-07-18,"14:15",0,0.4893520779,0.0077434405,1243.333,0.240775173,0.0012,0,0.00247790096,11.9406415869,0,0.241975173,2006,"A_Wet",NA,"SRS1c"
"SRS1c",2005-08-23,"11:00",0,0.6340552956,0.00402658906,NA,0.037257822,0.0012,0.17,0.0011,14.6630589131,0,0.038457822,2006,"A_Wet",NA,"SRS1c"
"SRS1c",2005-09-23,"12:15",0,0.8727714837,NA,NA,0.28433601,0.0012,0.14,0.00247790096,14.0625239131,0,0.28553601,2006,"A_Wet",NA,"SRS1c"
"SRS1c",2005-10-18,"11:30",0,0.2862829413,0.0092921286,NA,0.021290184,0.004622211,0.11,0.00278763858,13.21177,0.22,0.025912395,2006,"A_Wet",NA,"SRS1c"
"SRS1c",2005-11-10,"08:50",0,0.3615269337,0.00495580192,NA,0.075496113,0.006443082,0.13,0.00247790096,19.0169376631,0.33,0.081939195,2006,"B_Dry",NA,"SRS1c"
"SRS1c",2005-12-19,"13:30",0,0.318232224,0.0449119549,NA,0.095945895,0.007423551,0.13,0.0011,17.7558141631,0.41,0.103369446,2006,"B_Dry",NA,"SRS1c"
"SRS1c",2006-01-05,"07:45",0,0.4935540879,0.0077434405,NA,0.374399091,0.062890083,0.3,0.0011,16.9751186631,4.19,0.437289174,2006,"B_Dry",NA,"SRS1c"
"SRS1d",2006-01-05,"13:15",0,0.4539011202,0.00588501478,NA,0.158695911,0.010505025,0.12,0.0011,19.7976331631,0.63,0.169200936,2006,"B_Dry",NA,"SRS1d"
"SRS1d",2006-02-09,"11:10",0,0.3840917274,0.02261084626,NA,0.13306365,0.049163517,0.14,0.0011,21.1288270869,3.37,0.182227167,2006,"B_Dry",NA,"SRS1d"
"SRS1d",2006-03-02,"12:20",0,0.6395599287,0.01362845528,NA,NA,0.010505025,0.12,0.0011,20.80853775,0.62,NA,2006,"B_Dry",NA,"SRS1d"
"SRS1d",2006-04-06,"15:30",0,0.5000531967,0.01362845528,NA,0.095385627,0.012045762,0.07,0.0011,24.0814535,0.79,0.107431389,2006,"B_Dry",NA,"SRS1d"
"SRS1d",2006-05-16,"09:30",0,1.5395744439,0.04738985586,NA,0.125920233,0.022270653,0.24,0.0011,33.5498846631,1.35,0.148190886,2007,"A_Wet",NA,"SRS1d"
"SRS1d",2006-06-15,"11:45",0,0.5722437285,0.01331871766,NA,0.040899564,0.004902345,0.08,0.0011,28.3852836631,0.27,0.045801909,2007,"A_Wet",NA,"SRS1d"
"SRS1d",2006-07-25,"",0,0.3550278249,0.00712396526,NA,0.056447001,0.006303015,0.13,0.00278763858,9.6045604369,0.32,0.062750016,2007,"A_Wet",NA,"SRS1d"
"SRS1d",2006-09-01,"13:31",0,0.2872353969,0.00495580192,NA,0.011485494,0.0012,0.07,0.0011,9.347327275,0.08,0.012685494,2007,"A_Wet",NA,"SRS1d"
"SRS1d",2006-09-21,"13:30",0,0.3677739219,0.01641609386,NA,0.019889514,0.0012,0.04,0.0011,11.4802234131,0.03,0.021089514,2007,"A_Wet",NA,"SRS1d"
"SRS1d",2006-10-09,"13:30",0,0.5208951663,0.0046460643,NA,0.033335946,0.00420201,0.09,0.0011,16.0242795869,0.21,0.037537956,2007,"A_Wet",NA,"SRS1d"
"SRS1d",2006-11-13,"13:00",0,0.6286066893,0.0077434405,NA,0.065131155,0.008684154,0.06,0.0011,24.4617963369,0.56,0.073815309,2007,"B_Dry",NA,"SRS1d"
"SRS1d",2006-12-07,"13:45",0,0.7661244699,0.00991160384,NA,0.057567537,0.023951457,0.12,0.0011,25.0072742881,1.59,0.081518994,2007,"B_Dry",NA,"SRS1d"
"SRS1d",2007-01-18,"13:15",0,0.8909521803,0.01177002956,NA,0.375239493,0.015827571,0.1,0.0011,25.67287125,1.02,0.391067064,2007,"B_Dry",NA,"SRS1d"
"SRS1d",2007-02-01,"13:30",0,0.6378931314,0.0046460643,NA,0.159536313,0.008123886,0.09,0.0011,22.82033,0.48,0.167660199,2007,"B_Dry",NA,"SRS1d"
"SRS1d",2007-03-19,"14:45",0,1.2187509804,0.00805317812,NA,NA,0.01120536,0.08,0.0011,29.0058405,0.71,NA,2007,"B_Dry",NA,"SRS1d"
"SRS1d",2007-04-27,"11:00",0,0.9874023165,0.05823067256,NA,0.054766197,0.0012,0.16,0.0011,30.0467718369,0,0.055966197,2007,"B_Dry",NA,"SRS1d"
"SRS1d",2007-05-24,"12:30",0,1.0391710797,0.00743370288,NA,0.079277922,0.00280134,0.2,0.0011,29.6424076,0,0.082079262,2008,"A_Wet",NA,"SRS1d"
"SRS1d",2007-06-20,"13:30",0,0.4652885673,0.03004454914,NA,0.037117755,0.006162948,0.19,0.0011,14.1205836369,0.25,0.043280703,2008,"A_Wet",NA,"SRS1d"
"SRS1d",2007-07-26,"13:30",0,0.7065959949,0.00557527716,NA,0.043700904,0.067512294,0.14,0.0011,9.4804418631,4.69,0.111213198,2008,"A_Wet",NA,"SRS1d"
"SRS1d",2007-08-08,"08:50",0,0.8596331991,0.00650449002,NA,0.236293029,0.002661273,0.09,0.0011,12.5712033369,0.09,0.238954302,2008,"A_Wet",NA,"SRS1d"
"SRS1d",2007-09-05,"13:15",0,0.5984362575,0.00495580192,NA,0.075496113,0.008263953,0.2,0.0011,15.809083875,0.39,0.083760066,2008,"A_Wet",NA,"SRS1d"
"SRS1d",2007-10-08,"15:45",0,0.4602741687,0.0092921286,NA,0.026752797,0.005742747,0.06,0.00402658906,5.9573072,0.36,0.032495544,2008,"A_Wet",NA,"SRS1d"
"SRS1d",2007-11-19,"13:45",0,0.9853993584,0.00805317812,NA,0.015827571,0.002941407,0.08,0.0011,20.057869,0.13,0.018768978,2008,"B_Dry",NA,"SRS1d"
"SRS1d",2007-12-05,"10:20",0,0.8659922409,0.00681422764,NA,0.224387334,0.021710385,0.15,0.00371685144,19.5674360869,1.4,0.246097719,2008,"B_Dry",NA,"SRS1d"
"SRS1d",2008-01-10,"12:40",0,1.1623319928,0.0077434405,NA,0.795020292,0.00700335,0.16,0.0011,24.3016456631,0.34,0.802023642,2008,"B_Dry",NA,"SRS1d"
"SRS1d",2008-02-28,"11:30",0,3.1112942643,0.00340711382,NA,1.344222999,0.006723216,0.09,0.0011,36.872849,0.39,1.350946215,2008,"B_Dry",NA,"SRS1d"
"SRS1d",2008-03-31,"12:00",0,2.661413067,0.0061947524,NA,0.915057711,0.012045762,0.19,0.00247790096,34.6889073869,0.67,0.927103473,2008,"B_Dry",NA,"SRS1d"
"SRS1d",2008-04-10,"12:00",0,1.1885385285,0.00402658906,NA,0.206878959,0.080818659,0.3,0.00247790096,18.1761886631,5.47,0.287697618,2008,"B_Dry",NA,"SRS1d"
"SRS1d",2008-05-20,"12:20",0,1.7167591989,0.00526553954,NA,0.52945326,0.009944757,0.24,0.0011,29.110934125,0.47,0.539398017,2009,"A_Wet",NA,"SRS1d"
"SRS1d",2008-06-24,"13:45",0,0.3975521661,0.00991160384,NA,0.024231591,0.0012,0.08,0.00557527716,11.19997775,0.09,0.025431591,2009,"A_Wet",NA,"SRS1d"
"SRS1d",2008-07-09,"13:35",0,0.4395582594,0.00743370288,NA,0.039498894,0.0012,0.09,0.0011,13.8723585,0,0.040698894,2009,"A_Wet",NA,"SRS1d"
"SRS1d",2008-08-06,"11:20",0,0.4839594984,0.01300898004,NA,0.030254472,0.003361608,0.12,0.0011,19.7075529131,0.12,0.03361608,2009,"A_Wet",NA,"SRS1d"
"SRS1d",2008-09-15,"13:10",0,0.4016281158,0.01796478196,NA,0.027172998,0.003501675,0.12,0.0011,13.9424169131,0.14,0.030674673,2009,"A_Wet",NA,"SRS1d"
"SRS1d",2008-10-06,"07:40",0,0.250299729,0.0046460643,NA,0.016107705,0.0012,0.09,0.0011,11.32008475,0.05,0.017307705,2009,"A_Wet",NA,"SRS1d"
"SRS1d",2008-11-03,"11:45",0,0.3085255809,0.00216816334,NA,0.018768978,0.003501675,0.06,0.0011,12.0006950869,0.19,0.022270653,2009,"B_Dry",NA,"SRS1d"
"SRS1d",2008-12-02,"10:45",0,1.8499208958,0.00402658906,NA,0.038098224,0.0012,0.06,0.0011,19.1670714131,0.04,0.039298224,2009,"B_Dry",NA,"SRS1d"
"SRS1d",2009-01-05,"13:50",0,0.5697365292,0.0046460643,NA,0.056447001,0.004622211,0.08,0.0011,22.24982175,0.25,0.061069212,2009,"B_Dry",NA,"SRS1d"
"SRS1d",2009-02-02,"11:30",0,2.1744561348,0.01022134146,NA,0.667419255,0.007843752,0.1,0.0011,23.8912880869,0.46,0.675263007,2009,"B_Dry",NA,"SRS1d"
"SRS1d",2009-03-02,"13:30",0,1.8744186141,0.0092921286,NA,0.146930283,0.003501675,0.13,0.0011,26.1272720631,0.12,0.150431958,2009,"B_Dry",NA,"SRS1d"
"SRS1d",2009-04-01,"10:00",0,2.1710665134,0.01455766814,NA,0.357871185,0.00280134,NA,0.0011,39.4051009131,NA,0.360672525,2009,"B_Dry",NA,"SRS1d"
"SRS1d",2009-06-29,"12:11",0,1.7064502677,0.00557527716,NA,0.034876683,0.014566968,0.52,0.00247790096,21.8094254131,0.52,0.049443651,2010,"A_Wet",NA,"SRS1d"
"SRS1d",2009-07-16,"13:30",0,1.1873059389,0.00433632668,NA,0.027873333,0.0012,0.11,0.0011,18.2162323369,0.04,0.029073333,2010,"A_Wet",NA,"SRS1d"
"SRS1d",2009-08-10,"13:00",0,0.7310516931,0.0092921286,NA,0.01960938,0.005742747,0.12,0.0030973762,21.6793135,0.29,0.025352127,2010,"A_Wet",NA,"SRS1d"
"SRS1d",2009-09-09,"13:30",0,0.5886175608,0.00898239098,NA,0.015127236,0.0012,NA,0.0011,19.8376768369,NA,0.016327236,2010,"A_Wet",NA,"SRS1d"
"SRS1d",2009-10-05,"08:00",0,0.2801199933,0.00123895048,NA,0.048883383,0.003081474,0.08,0.0011,11.4501966631,0.14,0.051964857,2010,"A_Wet",NA,"SRS1d"
"SRS1d",2009-11-09,"13:45",0,0.8889072021,0.00743370288,NA,0.026192529,0.0012,0.09,0.00247790096,19.90773525,0.07,0.027392529,2010,"B_Dry",NA,"SRS1d"
"SRS1d",2009-12-07,"11:30",0,1.2657434589,0.00278763858,NA,0.029974338,0.002521206,0.05,0.0011,17.9059479131,0.13,0.032495544,2010,"B_Dry",NA,"SRS1d"
"SRS1d",2010-01-14,"13:05",0,2.0572060491,0.0046460643,NA,0.093424689,0.027313065,0.1,0.0011,14.9533215,1.85,0.120737754,2010,"B_Dry",NA,"SRS1d"
"SRS1d",2010-02-01,"11:30",0,0.8335667304,0.01331871766,NA,0.038238291,0.003501675,0.06,0.0011,14.5229420869,0.19,0.041739966,2010,"B_Dry",NA,"SRS1d"
"SRS1d",2010-03-10,"13:50",0,1.739492073,0.0046460643,NA,0.011765628,0.0012,0.05,0.0011,23.0805658369,0.03,0.012965628,2010,"B_Dry",NA,"SRS1d"
"SRS1d",2010-04-07,"12:40",0,2.0197241199,0.00402658906,NA,0.013586499,0.0012,0.06,0.0011,23.99137325,0.05,0.014786499,2010,"B_Dry",NA,"SRS1d"
"SRS1d",2010-05-05,"11:30",0,1.0323638235,0.00836291574,NA,0.016107705,0.0012,0.11,0.0011,22.8403518369,0.02,0.017307705,2011,"A_Wet",NA,"SRS1d"
"SRS1d",2010-06-16,"13:00",0,1.1170063116,0.00805317812,NA,0.034316415,0.00280134,0.16,0.0011,23.180651,0.04,0.037117755,2011,"A_Wet",NA,"SRS1d"
"SRS1d",2010-07-07,"11:45",0,0.6338732085,0.0046460643,NA,0.022970988,0.0012,0.03,0.0011,18.7266870869,0.07,0.024170988,2011,"A_Wet",NA,"SRS1d"
"SRS1d",2010-08-09,"12:25",0,0.4544053614,0.00495580192,NA,0.011765628,0.0012,0.11,0.0011,12.3209724131,0.03,0.012965628,2011,"A_Wet",NA,"SRS1d"
"SRS1d",2010-09-07,"14:20",0,0.7966310625,0.00371685144,NA,0.015827571,0.0012,0.14,0.0011,11.770486,0.03,0.017027571,2011,"A_Wet",NA,"SRS1d"
"SRS1d",2010-10-04,"08:30",0,0.9394853958,0.00743370288,NA,0.070873902,0.0012,0.08,0.0011,9.4023723131,0.04,0.072073902,2011,"A_Wet",NA,"SRS1d"
"SRS1d",2010-11-01,"13:45",0,0.4226801859,0.0061947524,NA,0.034736616,0.015127236,0.06,0.0011,11.9906781631,1.01,0.049863852,2011,"B_Dry",NA,"SRS1d"
"SRS1d",2010-12-01,"11:42",0,0.671621265,0.00588501478,NA,0.216123381,0.013866633,0.09,0.0011,12.5011329131,0.91,0.229990014,2011,"B_Dry",NA,"SRS1d"
"SRS1d",2011-01-04,"13:00",0,0.6492945852,0.00743370288,NA,0.203797485,0.003641742,0.1,0.0011,10.9197320869,0.15,0.207439227,2011,"B_Dry",NA,"SRS1d"
"SRS1d",2011-02-02,"12:00",0,1.3818870153,0.00650449002,NA,0.282094938,0.002521206,0.08,0.0011,16.9951405,0.1,0.284616144,2011,"B_Dry",NA,"SRS1d"
"SRS1d",2011-03-01,"14:35",0,1.5223462029,0.0092921286,NA,0.032915745,0.0012,0.08,0.0011,25.702898,0.04,0.034115745,2011,"B_Dry",NA,"SRS1d"
"SRS1d",2011-08-05,"11:20",0,1.5653187585,0.00526553954,NA,0.031655142,0.002941407,0.14,0.0011,25.9631338369,0.07,0.034596549,2012,"A_Wet",NA,"SRS1d"
"SRS1d",2011-09-07,"13:10",0,1.0373782221,0.00495580192,NA,0.014566968,0.002941407,0.11,0.0011,19.8076500869,0.1,0.017508375,2012,"A_Wet",NA,"SRS1d"
"SRS1d",2011-10-12,"08:20",0,1.1956399254,0.0061947524,NA,0.032355477,0.006022881,0.12,0.0108408167,24.501828,0.31,0.038378358,2012,"A_Wet",NA,"SRS1d"
"SRS1d",2011-11-07,"15:00",0,0.7178853951,0.00805317812,NA,0.01960938,0.008263953,0.24,0.0077434405,19.3572488369,0.35,0.027873333,2012,"B_Dry",NA,"SRS1d"
"SRS1d",2011-12-14,"12:20",0,0.9552709467,0.0108408167,NA,0.021290184,0.004061943,0.08,0.0011,17.0651989131,0.21,0.025352127,2012,"B_Dry",NA,"SRS1d"
"SRS1d",2012-01-10,"15:00",0,1.0579960845,0.00650449002,NA,0.025492194,0.012045762,0.1,0.00247790096,21.34901925,0.76,0.037537956,2012,"B_Dry",NA,"SRS1d"
"SRS1d",2012-02-01,"10:50",0,0.8489040669,0.01177002956,NA,0.036277353,0.003921876,0.11,0.00278763858,24.6719835869,0.17,0.040199229,2012,"B_Dry",NA,"SRS1d"
"SRS1d",2012-03-02,"8:40",0,1.5097681863,NA,NA,0.052385058,0.004622211,0.18,0.0077434405,29.1259475,0.15,0.057007269,2012,"B_Dry",NA,"SRS1d"
"SRS1d",2012-05-07,"12:00",0,1.4984507727,0.01022134146,NA,0.047902914,0.007283484,0.13,0.0011,25.3705979631,0.4,0.055186398,2013,"A_Wet",NA,"SRS1d"
"SRS1d",2012-06-19,"13:00",0,0.9435753522,0.00743370288,NA,0.026192529,0.003781809,0.04,0.0011,22.1797633369,0.23,0.029974338,2013,"A_Wet",NA,"SRS1d"
"SRS1d",2012-07-17,"12:50",0,0.7447922658,0.00371685144,NA,0.025772328,0.003221541,0.07,0.0011,13.18174325,0.17,0.028993869,2013,"A_Wet",NA,"SRS1d"
"SRS1d",2012-08-14,"12:30",0,0.9960864705,0.00712396526,NA,0.02941407,0.002941407,0.05,0.0030973762,15.6039050869,0.17,0.032355477,2013,"A_Wet",NA,"SRS1d"
"SRS1d",2012-09-14,"12:00",0,0.9899095158,0.0061947524,NA,0.043560837,0.003361608,0.12,0.0011,16.3846005869,0.13,0.046922445,2013,"A_Wet",NA,"SRS1d"
"SRS1d",2012-10-10,"7:50",0,0.522589977,0.00588501478,NA,0.036977688,0.015547437,0.12,0.0011,10.5493941631,0.99,0.052525125,2013,"A_Wet",NA,"SRS1d"
"SRS1d",2012-11-01,"14:15",0,0.5904944586,0.00650449002,NA,0.019469313,0.00280134,0.08,0.0011,13.9224070869,0.13,0.022270653,2013,"B_Dry",NA,"SRS1d"
"SRS1d",2012-12-17,"11:55",0,0.7847113608,0.0092921286,NA,0.047202579,0.003361608,0.08,0.0011,22.0396345,0.16,0.050564187,2013,"B_Dry",NA,"SRS1d"
"SRS1d",2013-01-08,"13:30",0,0.829056573,0.01115055432,NA,0.031234941,0.0012,0.07,0.0046460643,21.3390143369,0.06,0.032434941,2013,"B_Dry",NA,"SRS1d"
"SRS1d",2013-02-12,"11:50",0,1.4301400968,0.01300898004,NA,0.036557487,0.0012,0.06,0.0011,23.5910205869,0.05,0.037757487,2013,"B_Dry",NA,"SRS1d"
"SRS1d",2013-03-04,"13:30",0,1.5245172414,0.00588501478,NA,0.100147905,0.0012,0.09,0.0011,23.99137325,0.08,0.101347905,2013,"B_Dry",NA,"SRS1d"
"SRS1d",2013-04-04,"11:00",0,2.2133527407,0.03840746488,NA,0.049303584,0.006022881,0.13,0.0011,34.7569600131,0.3,0.055326465,2013,"B_Dry",NA,"SRS1d"
"SRS1d",2013-05-08,"13:10",0,1.8641376963,0.01053107908,NA,0.063730485,0.003641742,0.25,0.0011,36.6806778,0.01,0.067372227,2014,"A_Wet",NA,"SRS1d"
"SRS1d",2013-06-20,"12:30",0,0.8299530018,0.01207976718,NA,0.036557487,0.0012,0.05,0.0011,13.3919305,0.05,0.037757487,2014,"A_Wet",NA,"SRS1d"
"SRS1d",2013-07-11,"13:00",0,0.8517614337,0.00805317812,NA,0.030114405,0.003081474,0.18,0.00340711382,15.1234770869,0.04,0.033195879,2014,"A_Wet",NA,"SRS1d"
"SRS1d",2013-08-16,"11:45",0,0.9403538112,0.00681422764,NA,0.036557487,0.004622211,0.11,0.0011,14.4028350869,0.21,0.041179698,2014,"A_Wet",NA,"SRS1d"
"SRS1d",2013-09-12,"13:00",0,0.6654022902,0.00898239098,NA,0.028573668,0.004482144,0.26,0.0011,14.8832630869,0.06,0.033055812,2014,"A_Wet",NA,"SRS1d"
"SRS1d",2013-10-24,"7:30",0,0.6884993385,0.00898239098,NA,0.055466532,0.008684154,0.09,0.0011,14.5129251631,0.53,0.064150686,2014,"A_Wet",NA,"SRS1d"
"SRS1d",2013-11-07,"13:00",0,0.5339073906,0.00650449002,NA,0.024511725,0.0012,0.09,0.0011,15.58388325,0.04,0.025711725,2014,"B_Dry",NA,"SRS1d"
"SRS1d",2013-12-10,"13:50",0,0.7982558397,0.0092921286,NA,0.032775678,0.0012,0.05,0.0011,14.4328618369,0.11,0.033975678,2014,"B_Dry",NA,"SRS1d"
